file,start,speaker,text_clean,inv_type
fe_03_00001.txt,198.18,A,what do you do,EXCL
fe_03_00001.txt,206.78,B,what do you do,EXCL
fe_03_00001.txt,247.28,A,so do you do you have any idea what what,DEGREE
fe_03_00001.txt,462.24,A,so do you know my friend steve louis,DEGREE
fe_03_00001.txt,466.08,B,what does he do,EXCL
fe_03_00002.txt,74.83,A,what what kind of foods do you like to cook,EXCL
fe_03_00002.txt,153.52,A,things i'd ra- i'd rather eat out than eat the food i've been cooking lately,COMP
fe_03_00004.txt,211.93,A,how did you find it were you just,EXCL
fe_03_00004.txt,485.86,A,what do you eat for christmas,EXCL
fe_03_00006.txt,17.15,A,so do you prefer eating at a restaurant or at home,DEGREE
fe_03_00006.txt,157.1,A,so what kind of restaurants do you like,DEGREE
fe_03_00006.txt,498.48,A,what do you think of the restaurants why are they not good,EXCL
fe_03_00007.txt,8.08,B,how's it going,EXCL
fe_03_00008.txt,24.68,A,so what did you make for dinner,DEGREE
fe_03_00008.txt,443.26,B,so do you have to wait a long time to get into the restaurant and stuff,DEGREE
fe_03_00010.txt,436.56,A,so so what do you what do you cook what's your favorite meal,DEGREE
fe_03_00012.txt,43.87,A,what did you talk about,EXCL
fe_03_00012.txt,91.86,A,what does that mean i don't understand,EXCL
fe_03_00012.txt,158.43,A,what do you want to be doing,EXCL
fe_03_00013.txt,28.68,B,so do you have that problem of,DEGREE
fe_03_00013.txt,366.52,B,should we get back on topic or i don't know if it matters,COND
fe_03_00014.txt,372.39,B,so what do you normally do w- how do you distinguish whether it's a cold or it's not a cold,DEGREE
fe_03_00014.txt,565.12,B,may- well they'll tell us if the conversation was,OPT
fe_03_00015.txt,6.95,B,what do you do janet,EXCL
fe_03_00015.txt,57.78,A,how do you tell,EXCL
fe_03_00015.txt,174.97,A,what are you studying in graduate school,EXCL
fe_03_00015.txt,673.2,B,so you could sort of in where there was so much snow you didn't know what to do about it and i think if you had all that snow all the time,DEGREE
fe_03_00016.txt,365.67,A,what do you teach,EXCL
fe_03_00017.txt,189.31,B,what do you do when you get sick,EXCL
fe_03_00017.txt,554.12,A,you know as long as you know what the ingredients are because you know if you c- if you look you can see most of them have exactly the same ingredients just maybe like the strengths may be different and yeah i don't know,COMP
fe_03_00018.txt,559.04,A,so how do you where do you find that,DEGREE
fe_03_00018.txt,566.53,A,how do you spell it a. n. e. v. a.,EXCL
fe_03_00019.txt,507.33,A,what kinda things do you do to try and get rid of your cold i mean,EXCL
fe_03_00020.txt,169.51,A,so did you read the newspaper that they said that the mouse gene is similar to the,DEGREE
fe_03_00020.txt,255.92,A,so do you have an idea how long we need to talk or is it just,DEGREE
fe_03_00020.txt,269.12,A,so what do you do,DEGREE
fe_03_00021.txt,216.69,B,so do you have any family out in chicago or,DEGREE
fe_03_00021.txt,232.13,B,so did did you wanna stick to this topic about winter illness,DEGREE
fe_03_00021.txt,621.08,B,may be like me just,OPT
fe_03_00021.txt,667.92,B,so where do you go to [noise] so your linguistics is for grad where did you do your undergrad,DEGREE
fe_03_00023.txt,367.63,B,so what shall we do just stay here or [mn],DEGREE
fe_03_00024.txt,74.98,B,what can we do to protect ourselves,EXCL
fe_03_00025.txt,231.36,A,so do do you have any sort of linguistically interesting thing to say to try to get yourself a a famous speech person in twenty five phone calls and stuff like that,DEGREE
fe_03_00025.txt,584.26,A,so how did you hear about this,DEGREE
fe_03_00026.txt,412.03,B,what is hepatitis actually do you know,EXCL
fe_03_00029.txt,314.14,A,so so that now did these kids keep their own instruments or did they did they share them with the next period and the next period after that,DEGREE
fe_03_00030.txt,172.07,B,so can you hear me all right because i'm actually on a microphone with an ear piece,DEGREE
fe_03_00030.txt,282.99,B,what flavor of linux do you use,EXCL
fe_03_00031.txt,52.18,A,so do you find the change of the seasons very strange,DEGREE
