File,Sentence,Fronted Element,Fronted Element Type,Locative,Verb,Subject,Quotative,Discourse Function,Information Structure
text_acad_2010.txt,"Shumba argues , as did many others , that such behavior is highly dangerous today because it carries a high risk of HIV infection .","Shumba argues , as",Other,Non-locative,did,many others,No,Discourse structuring,Other
text_acad_2010.txt,"When a man is asked "" How are the children ?","When a man is asked "" How",Other,Non-locative,are,the children,No,Discourse structuring,Other
text_acad_2010.txt,"Behind the door and to the viewer 's right hangs a dimly lit baroque painting of an angel wrestling with dark forces , while to the left one sees electric lighting fixtures , a floor lamp , and two striped cushions of the sort advertised in L.L. Bean summer catalogues .",Behind the door and to the viewer 's right,PP,Locative,hangs,a dimly lit baroque painting of an angel wrestling with dark forces,No,Scene-setting,Other
text_acad_2010.txt,"Of significance here is French recognition of the importance of a local visual economy and their conscious attempt to control it from production to circulation to manipulating the "" worth "" of images .",Of significance here,PP,Non-locative,is,"French recognition of the importance of a local visual economy and their conscious attempt to control it from production to circulation to manipulating the "" worth "" of images",No,Discourse structuring,Other
text_acad_2010.txt,Among the practical reasons for a decrease of street-side sales of artworks and other goods in Dakar is the transformation of the city 's complex traffic patterns .,Among the practical reasons for a decrease of street - side sales of artworks and other goods in Dakar,PP,Locative,is,the transformation of the city 's complex traffic patterns,No,Scene-setting,Other
text_acad_2010.txt,"Typically , the models that local artists use to create replica bieri are themselves copies ; dealers were quick to show me the similarities between their Fang sculpture for sale and a photograph from a museum catalog or the pages of African Arts , unabashedly remarking on the quality of the reproduction in wood .",the models that local artists use to create replica bieri,Other,Non-locative,are,themselves,No,Discourse structuring,Other
text_acad_2010.txt,"I heard that you lost a lot in the crash , "" says the Ritz bartender .",I heard that you lost a lot in the crash,VP,Non-locative,says,the Ritz bartender,Yes,Quotative,Other
text_acad_2010.txt,"I do n't think anyone was prepared for what has happened here , "" says Marchenko . """,I do n't think anyone was prepared for what has happened here,VP,Non-locative,says,Marchenko,Yes,Quotative,Other
text_acad_2010.txt,"People who know the industry and know Goldman Sachs know that it is a giant hedge fund , but it 's wrapped in an investment banking wrapper , "" says Professor Samuel Hayes of Harvard Business School .",who know the industry and know,Other,Non-locative,says,Professor Samuel Hayes of Harvard Business School,Yes,Quotative,Other
text_acad_2010.txt,"People who know the industry and know Goldman Sachs know that it is a giant hedge fund , but it 's wrapped in an investment banking wrapper , "" says Professor Samuel Hayes of Harvard Business School .","People who know the industry and know Goldman Sachs know that it is a giant hedge fund , but it 's wrapped in an investment banking wrapper",VP,Non-locative,says,Professor Samuel Hayes of Harvard Business School,Yes,Quotative,Other
text_acad_2010.txt,"One solution was recourse to the spread-eagle : "" The spirit of Literature and the spirit of Democracy are one , "" claimed John O'Sullivan , editor of the United States Magazine and Democratic Review , a political and literary journal .","One solution was recourse to the spread - eagle : "" The spirit of Literature and the spirit of Democracy are one",AdjP,Non-locative,claimed,"John O'Sullivan , editor of the United States Magazine and Democratic Review , a political and literary journal",Yes,Quotative,Other
