type,sentence,fronted_constituent,verb,subject,constituent_type,is_locative,confidence,validation_reasons,paragraph_index,sentence_index,file
numeric_inversion,"In the study published in April , the researchers found 16 nonnative plants new to the preserve . "" One of the species that 's really come in heavy in some places is this guy , "" said Cabin , walking over to a milkweed plant and pulling it up .",One of the species that 's really,come,this guy,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,0,60,text_acad_2000.txt
numeric_inversion,One difficulty is that information on bacterial species richness in most ecosystems is quite limited . <p> Step 3 .,One difficulty,is,that information on bacterial species richness in most ecosystems is quite limited,Numeric Expression,False,medium,Subject starts with determiner; Common inversion verb; Subject much longer than fronted element,2,55,text_acad_2000.txt
numeric_inversion,"One category is @ @ @ @ @ @ @ @ @ @ aboveground organism could be so tightly linked to a certain belowground organism ( through mutualism , for example ) that loss of one guarantees loss of the other .",One category,is,"a certain belowground organism ( through mutualism , for example ) that loss of one guarantees loss of the other",Numeric Expression,False,medium,Subject starts with determiner; Common inversion verb; Subject much longer than fronted element,2,114,text_acad_2000.txt
numeric_inversion,"Although all of these interactions clearly influence growing conditions and nutrient availability , modification of growing conditions for organisms on the other side of the soil surface is not necessarily synonymous with increasing their diversity . <p> Three mechanisms by which asymmetric effects could enhance diversity are through keystone species , direct positive interactions , and environmental modification .",Three mechanisms by which asymmetric effects could enhance diversity,are,one species,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,2,142,text_acad_2000.txt
numeric_inversion,One complication in linking above- and below-SWI species numbers and composition is seasonal and annual variability in below-SWI organisms .,One complication in linking above- and below-SWI species numbers and composition,is,S,Numeric Expression,False,medium,Common inversion verb,4,61,text_acad_2000.txt
numeric_inversion,One current theory is that small-scale patchiness in food supply is critical in promoting deep-sea diversity ( Grassle and Sanders 1973 ) .,One current theory,is,a diversity ( Grassle and Sanders 1973 ),Numeric Expression,False,medium,Subject starts with determiner; Common inversion verb; Subject much longer than fronted element,4,184,text_acad_2000.txt
numeric_inversion,The sensitivity of above- and belowground relationships to changes in species composition has important implications for prioritizing future research and management ( Hooper et al . 2000 ) . <p> Two areas are particularly important : intensification of land use and catastrophic events caused by changes in both climate and atmospheric inputs affecting the boundaries of communities at their ecological limits .,Two areas,are,their ecological limits,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,5,154,text_acad_2000.txt
numeric_inversion,"Three years were to pass before my mother begged for her crippled son 's refiah from that divine calligrapher , but I still wonder whether my passion for godly lettering was n't just another aspect of the ethnic wars that threatened me .",Three years,were,that divine calligrapher,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,8,126,text_acad_2000.txt
coordinated_inversion,"And as my agnostic voice joined with the voices of Savannah Jews to proclaim God 's singularity to the world , I suddenly felt not merely at home , but at peace , at peace with that one God I yearned for but could no longer believe in ; at peace with that one people , some of whom no longer considered me part of "" the tribe "" ; at peace with the memory-obsessed self that writers are condemned to live with ; and at peace with this melting pot called America . <p> In a world in which religious civil war threatens to destroy a Jewish state where non-observant and ultra-Orthodox can no longer even agree on what a Jew is , that age-old declaration of God 's oneness soared into the soft Southern air of a neo-Gothic @ @ @ @ @ @ @ @ @ @ used to cry , ruler punctuating the air as if it were God 's sword .",In a world in which religious civil war threatens to destroy a Jewish state where non-observant and ultra-Orthodox can no longer even agree on what a Jew,is,a neo-Gothic @ @ @ @ @ @ @ @ @ @ used to cry,Coordinated Structure,True,medium,Subject starts with determiner; Common inversion verb; Very long fronted constituent,8,245,text_acad_2000.txt
numeric_inversion,"Ignoring the ethical claims of vegetarianism , they can more easily dismiss it as dementia . <p> Assigned by a muckraking weekly called Appeal to Reason to investigate working conditions in the Chicago stockyards , Upton Sinclair was converted to vegetarianism -- for merely three years , admittedly -- by observing the process by which living animals are transformed into food . "" One could not stand and watch very long without becoming philosophical , without beginning to deal in symbols and similes , and to hear the hog squeal of the universe , "" he wrote in The Jungle , the novel that provoked passage of the Pure Food and Drug Act of 1906 .",One could not,stand,that provoked passage of the Pure Food and Drug Act of 1906,Numeric Expression,False,medium,Subject starts with determiner; Common inversion verb; Subject much longer than fronted element,9,134,text_acad_2000.txt
numeric_inversion,"Fermi and his group in Rome , in the mid-thirties , wanted to produce elements heavier than those found in nature -- "" transuranic "" elements , beyond uranium in the Periodic @ @ @ @ @ @ @ @ @ @ uranium 238 with a neutron , they expected to get uranium 239 . ( Two numbers are associated with each element .",Two numbers,are,each element,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,10,86,text_acad_2000.txt
complex_pp_inversion,"In those directions where more particles were detected , so the argument went , more were coming through because of holes ( chambers ) in the solid material .",In those directions where more particles,were,more were coming through because of holes ( chambers ) in the solid material,PP (Complex Prepositional Phrase),True,medium,Subject starts with determiner; Common inversion verb; Subject much longer than fronted element,10,150,text_acad_2000.txt
numeric_inversion,One of the first titles available on the Rocket eBook was Arthur Golden 's Memoirs of a Geisha .,One of the first titles available on the Rocket eBook,was,a Geisha,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,11,171,text_acad_2000.txt
numeric_inversion,"Would such books really survive the predations of teenage pirates , the taste of MP3 still in their mouths ? "" When e-books happen , they 're gone , "" Brass said . <p> One of the remarkable things about the book is how long the same concerns have surrounded it : archivability , affordability , freedom to publish .",One of the remarkable things about the book,is,the same concerns have surrounded it,Numeric Expression,False,medium,"Subject starts with determiner; Likely a question, not inversion; Common inversion verb",11,242,text_acad_2000.txt
complex_pp_inversion,"It seems strange to say , even now , but for me the work always had a certain quality not of learning , necessarily , but rather of remembering . <p> Over time I became familiar with a certain bemused look on the faces of people to whom I mentioned that I was studying Yiddish .",Over time I became familiar with a certain bemused look on the faces of people to whom I mentioned that I,was,Yiddish,PP (Complex Prepositional Phrase),True,medium,Common inversion verb; Very long fronted constituent,12,24,text_acad_2000.txt
complex_pp_inversion,"That condition prevailed until the late 1930s and @ @ @ @ @ @ @ @ @ @ leftist intellectuals in the city of Kingston -- began challenging the colonial system and the pervasiveness of British feeling . <p> In the little rural village where I lived until I was nine years old , Kingston and its progressive intellectuals were only a rumor .",In the little rural village where I,lived,a rumor,PP (Complex Prepositional Phrase),True,high,Subject starts with determiner; Common inversion verb,15,10,text_acad_2000.txt
numeric_inversion,"Devoutly religious , they made up the most cloistered and provincial community I 've known . <p> One of my earliest impressions of my fellow Chathamites was their reflexive recoil from the secular life of towns .",One of my earliest impressions of my fellow Chathamites,was,their reflexive recoil from the secular life of towns,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,15,12,text_acad_2000.txt
numeric_inversion,"Still , some of us wished that he had been thoughtful enough to discard certain cultural influences of that tutelage . <p> One of these influences was his inherited allegiance to Empire Day .",One of these influences,was,his inherited allegiance to Empire Day,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,15,182,text_acad_2000.txt
numeric_inversion,"One of them was Derek Walcott , the St.",One of them,was,the St,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,15,247,text_acad_2000.txt
coordinated_inversion,"Among his lieutenants and successors was his son , Michael , a graduate of the London School of Economics .",Among his lieutenants and successors,was,a graduate of the London School of Economics,Coordinated Structure,True,high,Subject starts with determiner; Common inversion verb,15,270,text_acad_2000.txt
complex_pp_inversion,"At least that is what I took him to mean , and I got busy parlaying it into a general discussion in which Russell , having said his piece , declined to participate further . <p> Once the other students had risen to the bait and were doing the talking , I had a chance to look Russell over for new damage : this week it was a thick , dark line , resembling lavishly applied lampblack , that ran under his right eye from nose to cheekbone .",At least that,is,this week it was a thick,PP (Complex Prepositional Phrase),True,high,Subject starts with determiner; Common inversion verb,17,8,text_acad_2000.txt
numeric_inversion,One of the quiet dramas of having Russell in class was seeing what kind of punishment he had incurred of late .,One of the quiet dramas of having Russell in class,was,seeing what kind of punishment he had incurred of late,Numeric Expression,False,medium,Common inversion verb,17,10,text_acad_2000.txt
numeric_inversion,"One problem with being tough and strong is that the realization of being bested , of feeling the other fighter 's hands shaping the bout , comes as a terribly dispiriting shock every time , no matter how often it happens and no matter how familiar it becomes .",One problem with being tough and strong,is,every time,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,17,120,text_acad_2000.txt
complex_pp_inversion,"I washed my face and then I ran water in the sink to soak the shirt . <p> In the months that followed , Russell found a teacher , a retired fighter who sometimes worked with novices , and eventually declared himself ready to try the Golden Gloves .",In the months that,followed,a teacher,PP (Complex Prepositional Phrase),True,high,Subject starts with determiner; Common inversion verb,17,139,text_acad_2000.txt
numeric_inversion,"But it was all bathed in a romantic glow , a poignant sense of thwarted possibility , loss , and regret . <p> One of my favorite examples is a 1922 story called "" Winter Dreams . "" Fitzgerald himself said it was an early sketch for The Great Gatsby .",One of my favorite examples,is,"a 1922 story called "" Winter Dreams",Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,18,88,text_acad_2000.txt
numeric_inversion,"While "" The Rough Crossing "" centers on a single bad trip , "" One Trip Abroad "" follows a couple through years of aimless wandering as they move from one hollow niche of "" society "" to another .","One Trip Abroad """,follows,"a couple through years of aimless wandering as they move from one hollow niche of "" society "" to another",Numeric Expression,False,medium,"Subject starts with determiner; Likely a question, not inversion; Quoted text spans front and subject - likely not inversion; Common inversion verb; Subject much longer than fronted element",18,107,text_acad_2000.txt
numeric_inversion,"Despite its unusual Gothic touches , "" One Trip "" is a schematic miniature of Tender Is the Night ( its heroine is even called Nicole ) in much the same way that "" Winter Dreams "" contains the seed of The Great Gatsby . <p> But "" One Trip Abroad "" also connects directly with Fitzgerald 's next @ @ @ @ @ @ @ @ @ @ and enduring stories , "" Babylon Revisited . "" First published in 1931 , and probably the only work of Fitzgerald 's that is as widely taught as The Great Gatsby , "" Babylon "" also has its nonfiction parallel in an oft-quoted essay written around the same time , "" Echoes of the Jazz Age . "" Always a staple for historians writing about the 1920s , the essay debunks the very period with which Fitzgerald 's name is associated ; by 1931 , less than two years after the stock-market crash , the twenties already felt like ancient history ( "" only yesterday , "" as Frederick Lewis Allen put it in the title of his famous social history , also published in 1931 ) .","One Trip """,is,"a schematic miniature of Tender Is the Night ( its heroine is even called Nicole ) in much the same way that "" Winter Dreams "" contains the seed of The Great Gatsby",Numeric Expression,False,medium,Subject starts with determiner; Quoted text spans front and subject - likely not inversion; Common inversion verb; Subject much longer than fronted element,18,109,text_acad_2000.txt
complex_pp_inversion,At the same time I knew that there was something in what my academic critics were saying .,At the same time I knew that there,was,my academic critics were saying,PP (Complex Prepositional Phrase),True,high,Subject starts with determiner; Common inversion verb,19,32,text_acad_2000.txt
numeric_inversion,Two days before the class was due to take place the student representatives came to me with a completely different demand .,Two days before the class,was,a completely different demand,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,19,123,text_acad_2000.txt
complex_pp_inversion,"Thus completely satisfied by David 's assurances , I formally accepted his invitation to lecture at UCT . <p> At the stage of my acceptance of Professor Welsh 's invitation it did not seem to me that academic freedom was an issue with regard to South Africa .",At the stage of my acceptance of Professor Welsh 's invitation it did not seem to me that academic freedom,was,an issue with regard to South Africa,PP (Complex Prepositional Phrase),True,medium,Subject starts with determiner; Common inversion verb; Very long fronted constituent,19,176,text_acad_2000.txt
complex_pp_inversion,"In the course of the article I indicated that I was about to go to South Africa to teach , thereby breaking the "" academic boycott , "" which I believed to be altogether wrong and a breach of the basic principle of the international solidarity of scholars and teachers .",In the course of the article I indicated that I,was,a to teach,PP (Complex Prepositional Phrase),True,high,Subject starts with determiner; Common inversion verb,19,188,text_acad_2000.txt
coordinated_inversion,"In his book Kabloona he describes his adventures and provides wonderful insight into how the Inuit lived before being "" modernized . "" At one point in his narrative , Poncins describes an Inuit who had killed an elderly relative : <p> It was his own mother that he had driven out and set down at sea to freeze to death .",In his book Kabloona he describes his adventures and provides wonderful insight into how the Inuit,lived,a to freeze to death,Coordinated Structure,True,medium,Subject starts with determiner; Common inversion verb; Very long fronted constituent,21,117,text_acad_2000.txt
